"Source","Make","Model","Year","Price (EUR)","Mileage (km)","Fuel","Transmission","Power (kW)","Body Type","Color","Listing URL","Source URL","Notes","Scraped At"
"neostar","","","2024","16499","","petrol","","81","","","","https://www.neostar.com/hr/automobili/?Page=1","","2026-04-24 00:08:15"
"neostar","","","2013","36800","","diesel","automatic","190","","","","https://www.neostar.com/hr/automobili/?Page=1","","2026-04-24 00:08:15"
"neostar","","","2016","12500","","diesel","automatic","110","","","","https://www.neostar.com/hr/automobili/?Page=1","","2026-04-24 00:08:15"
"neostar","","","2019","39990","","diesel","automatic","195","","","","https://www.neostar.com/hr/automobili/?Page=1","","2026-04-24 00:08:15"
"neostar","","","2015","8500","","petrol","","96","","","","https://www.neostar.com/hr/automobili/?Page=1","","2026-04-24 00:08:15"
"neostar","","","2019","15700","","petrol","","80","","","","https://www.neostar.com/hr/automobili/?Page=1","","2026-04-24 00:08:15"
"neostar","","","2021","20200","","petrol","","95","","","","https://www.neostar.com/hr/automobili/?Page=1","","2026-04-24 00:08:15"
"neostar","","","2024","38900","","diesel","automatic","120","","","","https://www.neostar.com/hr/automobili/?Page=1","","2026-04-24 00:08:15"
"neostar","","","2015","14800","","petrol","automatic","110","","","","https://www.neostar.com/hr/automobili/?Page=1","","2026-04-24 00:08:15"
"neostar","","","2021","19800","","electric","automatic","125","","","","https://www.neostar.com/hr/automobili/?Page=1","","2026-04-24 00:08:15"
"neostar","","","2019","10800","","diesel","","85","","","","https://www.neostar.com/hr/automobili/?Page=1","","2026-04-24 00:08:15"
"neostar","","","2016","9600","","diesel","","100","","","","https://www.neostar.com/hr/automobili/?Page=1","","2026-04-24 00:08:15"
"neostar","","","2021","38200","","diesel","automatic","140","","","","https://www.neostar.com/hr/automobili/?Page=1","","2026-04-24 00:08:15"
"neostar","","","2019","13999","","diesel","","55","","","","https://www.neostar.com/hr/automobili/?Page=1","","2026-04-24 00:08:15"
"neostar","","","2019","14500","","diesel","automatic","110","","","","https://www.neostar.com/hr/automobili/?Page=1","","2026-04-24 00:08:15"
"neostar","","","2016","46300","","diesel","automatic","193","","","","https://www.neostar.com/hr/automobili/?Page=1","","2026-04-24 00:08:15"
"neostar","","","2017","9490","","diesel","","88","","","","https://www.neostar.com/hr/automobili/?Page=1","","2026-04-24 00:08:15"
"neostar","","","2021","58750","","petrol","automatic","250","","","","https://www.neostar.com/hr/automobili/?Page=1","","2026-04-24 00:08:15"
"neostar","","","2019","7999","","petrol","","52","","","","https://www.neostar.com/hr/automobili/?Page=1","","2026-04-24 00:08:15"
"neostar","","","2022","29000","","diesel","automatic","110","","","","https://www.neostar.com/hr/automobili/?Page=1","","2026-04-24 00:08:15"
"neostar","","","2026","45243","","petrol","automatic","110","","","","https://www.neostar.com/hr/automobili/?Page=1","","2026-04-24 00:08:15"
"neostar","","","2018","14000","","diesel","","85","","","","https://www.neostar.com/hr/automobili/?Page=1","","2026-04-24 00:08:15"
"neostar","","","2017","17200","","petrol","","96","","","","https://www.neostar.com/hr/automobili/?Page=1","","2026-04-24 00:08:15"
"neostar","","","2018","28149","","diesel","automatic","100","","","","https://www.neostar.com/hr/automobili/?Page=1","","2026-04-24 00:08:15"
"neostar","","","2019","13000","","diesel","","96","","","","https://www.neostar.com/hr/automobili/?Page=1","","2026-04-24 00:08:15"
"neostar","","","2020","36000","","electric","automatic","235","","","","https://www.neostar.com/hr/automobili/?Page=1","","2026-04-24 00:08:15"
"neostar","","","2015","15350","","diesel","","120","","","","https://www.neostar.com/hr/automobili/?Page=1","","2026-04-24 00:08:15"
"neostar","","","2022","18900","","petrol","automatic","96","","","","https://www.neostar.com/hr/automobili/?Page=1","","2026-04-24 00:08:15"
"neostar","","","2017","20000","","diesel","automatic","140","","","","https://www.neostar.com/hr/automobili/?Page=1","","2026-04-24 00:08:15"
"neostar","","","2022","9900","","petrol","","51","","","","https://www.neostar.com/hr/automobili/?Page=1","","2026-04-24 00:08:15"
"neostar","","","2021","52700","","diesel","automatic","210","","","","https://www.neostar.com/hr/automobili/?Page=1","","2026-04-24 00:08:15"
